Date,Open,High,Low,Close,Adj Close,Volume
2011-10-14,188.190002,190.529999,187.729996,190.529999,160.502609,5368200
2011-10-17,189.710007,190.160004,185.899994,186.589996,157.183594,8790300
2011-10-18,178.000000,179.380005,176.250000,178.899994,150.705490,15729400
2011-10-19,179.679993,179.809998,177.009995,177.389999,149.433487,6708300
2011-10-20,178.130005,179.240005,176.169998,177.250000,149.315567,7513800
2011-10-21,179.110001,181.669998,178.750000,181.630005,153.005280,8054200
2011-10-24,181.509995,183.389999,180.619995,182.250000,153.527542,5890600
2011-10-25,181.660004,182.970001,180.009995,180.360001,151.935379,5373100
2011-10-26,181.740005,182.279999,179.029999,181.970001,153.291656,5387700
2011-10-27,184.990005,187.000000,183.179993,185.880005,156.585464,7057800
2011-10-28,185.570007,188.070007,185.279999,187.449997,157.908051,5009800
2011-10-31,185.589996,186.910004,184.630005,184.630005,155.532471,4710000
2011-11-01,181.550003,183.259995,180.740005,181.350006,152.769394,5881200
2011-11-02,184.000000,185.250000,183.029999,183.919998,154.934372,4136600
2011-11-03,185.130005,187.779999,184.020004,187.300003,157.781677,4953500
2011-11-04,186.270004,187.139999,184.740005,186.380005,157.006699,3237600
2011-11-07,186.220001,187.729996,184.750000,187.320007,157.798538,3530800
2011-11-08,187.479996,187.880005,185.509995,187.250000,158.373642,4330600
2011-11-09,184.199997,185.240005,181.160004,182.240005,154.136246,5494800
2011-11-10,183.580002,184.770004,181.869995,183.350006,155.075089,3881600
2011-11-11,185.270004,187.830002,185.139999,187.380005,158.483627,3665300
2011-11-14,189.169998,189.839996,186.850006,187.350006,158.458237,6038600
2011-11-15,187.490005,189.970001,185.639999,188.750000,159.642319,4585300
2011-11-16,187.820007,189.899994,186.300003,186.619995,157.840805,4616800
2011-11-17,186.809998,188.830002,183.389999,185.729996,157.088074,5840500
2011-11-18,186.710007,186.970001,184.660004,185.240005,156.673630,4440900
2011-11-21,183.369995,183.960007,180.000000,181.479996,153.493484,5145100
2011-11-22,182.220001,182.979996,180.289993,181.309998,153.349670,4178600
2011-11-23,180.669998,181.490005,177.520004,177.949997,150.507828,4800900
2011-11-25,178.009995,179.559998,177.059998,177.059998,149.755096,2232800
2011-11-28,182.710007,182.929993,180.669998,182.210007,154.110870,4524200
2011-11-29,182.020004,183.309998,180.839996,180.940002,153.036743,3661600
2011-11-30,184.570007,188.350006,184.210007,188.000000,159.007965,7836800
2011-12-01,187.009995,189.990005,186.770004,189.449997,160.234390,4858800
2011-12-02,189.919998,191.330002,189.449997,189.660004,160.412003,4962200
2011-12-05,191.179993,193.610001,190.380005,190.839996,161.410034,5699400
2011-12-06,190.649994,193.529999,190.320007,192.940002,163.186172,4144900
2011-12-07,191.990005,194.899994,191.279999,194.050003,164.125015,5081700
2011-12-08,192.479996,193.800003,191.070007,191.580002,162.035889,4369000
2011-12-09,192.910004,194.869995,192.399994,194.559998,164.556351,4847900
2011-12-12,193.639999,193.899994,191.220001,192.179993,162.543396,3796100
2011-12-13,193.460007,194.300003,190.639999,191.149994,161.672226,5008400
2011-12-14,189.839996,190.279999,188.000000,188.720001,159.616959,5057700
2011-12-15,190.479996,191.199997,186.889999,187.479996,158.568192,4474500
2011-12-16,188.009995,188.009995,181.910004,183.570007,155.261169,11849400
2011-12-19,184.509995,184.690002,182.250000,182.889999,154.686005,5039900
2011-12-20,185.500000,187.330002,184.759995,187.240005,158.365204,4740100
2011-12-21,183.220001,183.500000,179.039993,181.470001,153.485001,9282500
2011-12-22,182.710007,182.800003,181.000000,182.039993,153.967117,5052000
2011-12-23,183.110001,184.850006,181.889999,184.750000,156.259186,3052300
2011-12-27,184.970001,185.850006,184.389999,184.949997,156.428329,2775200
2011-12-28,185.190002,185.399994,183.339996,183.990005,155.616425,2872000
2011-12-29,184.070007,186.229996,184.009995,186.179993,157.468658,2941600
2011-12-30,186.330002,186.479996,183.850006,183.880005,155.523346,3530900
2012-01-03,186.729996,188.710007,186.000000,186.300003,157.570175,5646000
2012-01-04,185.570007,186.330002,184.940002,185.539993,156.927368,4346700
2012-01-05,184.809998,185.029999,183.100006,184.660004,156.183075,4463100
2012-01-06,184.389999,184.479996,182.309998,182.539993,154.389999,4897100
2012-01-09,182.199997,182.270004,180.270004,181.589996,153.586502,5201200
2012-01-10,183.229996,183.720001,181.199997,181.309998,153.349670,5161000
2012-01-11,180.729996,182.809998,180.500000,182.320007,154.203934,4110800
2012-01-12,181.860001,181.910004,178.380005,180.550003,152.706894,6881000
2012-01-13,179.479996,179.610001,177.350006,179.160004,151.531250,5279200
2012-01-17,180.360001,182.000000,179.320007,180.000000,152.241653,6003400
2012-01-18,179.830002,181.600006,179.500000,181.070007,153.146683,4600600
2012-01-19,181.789993,182.360001,180.350006,180.520004,152.681519,8567200
2012-01-20,185.770004,188.970001,184.750000,188.520004,159.447815,12849700
2012-01-23,187.910004,190.520004,187.669998,189.979996,160.682663,5751700
2012-01-24,188.630005,192.300003,188.520004,191.929993,162.331940,5345700
2012-01-25,191.330002,192.240005,189.610001,191.729996,162.162781,4359700
2012-01-26,191.789993,192.789993,190.470001,190.979996,161.528412,4004700
2012-01-27,190.009995,191.770004,189.809998,190.460007,161.088638,3360400
2012-01-30,189.389999,192.729996,188.220001,192.500000,162.814041,4359000
2012-01-31,193.089996,193.100006,191.000000,192.600006,162.898621,4826800
2012-02-01,193.210007,194.809998,192.410004,192.619995,162.915527,5088800
2012-02-02,192.720001,193.330002,191.330002,191.529999,161.993652,3907300
2012-02-03,192.929993,194.130005,192.539993,193.639999,163.778290,4521700
2012-02-06,192.479996,193.759995,192.000000,192.820007,163.084686,3639800
2012-02-07,192.449997,194.139999,191.970001,193.350006,163.532974,3433000
2012-02-08,192.779999,193.580002,191.729996,192.949997,163.830124,3803800
2012-02-09,193.029999,194.460007,192.550003,193.130005,163.982941,3876400
2012-02-10,191.759995,192.429993,191.279999,192.419998,163.380112,3391100
2012-02-13,193.309998,193.690002,191.740005,192.619995,163.549957,2458800
2012-02-14,191.759995,192.600006,190.830002,192.220001,163.210342,3398100
2012-02-15,192.309998,193.440002,191.259995,192.250000,163.235779,4020900
2012-02-16,192.610001,193.250000,192.000000,193.020004,163.889603,3525500
2012-02-17,193.710007,193.860001,192.300003,193.419998,164.229233,3746500
2012-02-21,193.729996,194.240005,192.460007,193.389999,164.203720,3293600
2012-02-22,193.029999,194.740005,192.750000,193.869995,164.611267,3275800
2012-02-23,193.869995,199.229996,193.279999,197.610001,167.786865,8032700
2012-02-24,198.380005,198.559998,196.610001,197.759995,167.914215,3353200
2012-02-27,196.779999,198.710007,196.100006,197.529999,167.718887,3758400
2012-02-28,197.750000,198.960007,197.429993,197.979996,168.101013,3167400
2012-02-29,197.860001,199.169998,196.449997,196.729996,167.039688,5117100
2012-03-01,197.229996,198.470001,196.929993,197.529999,167.718887,3560300
2012-03-02,197.100006,198.889999,197.059998,198.809998,168.805756,3727400
